Title,Years,Rating
224. The Best Years of Our Lives,1946,8.1 (71K)
225. Jai Bhim,2021,8.7 (218K)
226. The Exorcist,1973,8.1 (458K)
227. Rush,2013,8.1 (517K)
228. Network,1976,8.1 (172K)
229. The Wizard of Oz,1939,8.1 (431K)
230. Stand by Me,1986,8.1 (445K)
24. Saving Private Ryan,1998,8.6 (1.5M)
231. The Incredibles,2004,8.0 (815K)
232. Hachi: A Dog's Tale,2009,8.1 (314K)
233. My Father and My Son,2005,8.2 (93K)
234. The Sound of Music,1965,8.1 (263K)
235. The Handmaiden,2016,8.1 (175K)
236. Into the Wild,2007,8.1 (661K)
237. To Be or Not to Be,1942,8.1 (43K)
238. The Battle of Algiers,1966,8.1 (66K)
239. The Grapes of Wrath,1940,8.1 (101K)
240. Groundhog Day,1993,8.0 (689K)
25. City of God,2002,8.6 (805K)
241. Amores Perros,2000,8.1 (254K)
242. The Iron Giant,1999,8.1 (230K)
243. Rebecca,1940,8.1 (148K)
244. Cool Hand Luke,1967,8.1 (190K)
245. The Help,2011,8.1 (496K)
246. It Happened One Night,1934,8.1 (113K)
247. Drishyam,2015,8.2 (96K)
248. Aladdin,1992,8.0 (471K)
249. Dances with Wolves,1990,8.0 (293K)
250. Scent of a Woman,1992,8.0 (332K)
26. Life Is Beautiful,1997,8.6 (747K)
27. The Green Mile,1999,8.6 (1.4M)
28. Terminator 2: Judgment Day,1991,8.6 (1.2M)
29. Star Wars: Episode IV - A New Hope,1977,8.6 (1.5M)
30. Back to the Future,1985,8.5 (1.3M)
4. The Godfather Part II,1974,9.0 (1.4M)
31. Spirited Away,2001,8.6 (858K)
32. The Pianist,2002,8.5 (920K)
33. Dune: Part Two,2024,8.6 (458K)
34. Parasite,2019,8.5 (973K)
35. Psycho,1960,8.5 (723K)
36. Gladiator,2000,8.5 (1.6M)
37. Spider-Man: Across the Spider-Verse,2023,8.6 (381K)
38. The Lion King,1994,8.5 (1.2M)
39. The Departed,2006,8.5 (1.4M)
40. Léon: The Professional,1994,8.5 (1.3M)
5. 12 Angry Men,1957,9.0 (873K)
41. American History X,1998,8.5 (1.2M)
42. Whiplash,2014,8.5 (1M)
43. The Prestige,2006,8.5 (1.5M)
44. Grave of the Fireflies,1988,8.5 (314K)
45. Harakiri,1962,8.6 (70K)
46. The Usual Suspects,1995,8.5 (1.2M)
47. Casablanca,1942,8.5 (609K)
48. The Intouchables,2011,8.5 (936K)
49. Cinema Paradiso,1988,8.5 (285K)
50. Modern Times,1936,8.5 (261K)
6. Schindler's List,1993,9.0 (1.5M)
51. Rear Window,1954,8.5 (525K)
52. Once Upon a Time in the West,1968,8.5 (351K)
53. Alien,1979,8.5 (958K)
54. City Lights,1931,8.5 (197K)
55. Django Unchained,2012,8.5 (1.7M)
56. Apocalypse Now,1979,8.4 (714K)
57. Memento,2000,8.4 (1.3M)
58. WALL·E,2008,8.4 (1.2M)
59. 12th Fail,2023,8.9 (120K)
60. Raiders of the Lost Ark,1981,8.4 (1M)
7. The Lord of the Rings: The Return of the King,2003,9.0 (2M)
61. The Lives of Others,2006,8.4 (413K)
62. Sunset Boulevard,1950,8.4 (238K)
63. Avengers: Infinity War,2018,8.4 (1.2M)
64. Paths of Glory,1957,8.4 (214K)
65. Spider-Man: Into the Spider-Verse,2018,8.4 (679K)
66. Witness for the Prosecution,1957,8.4 (139K)
67. The Shining,1980,8.4 (1.1M)
68. The Great Dictator,1940,8.4 (239K)
69. Aliens,1986,8.4 (768K)
70. Inglourious Basterds,2009,8.4 (1.6M)
8. Pulp Fiction,1994,8.9 (2.2M)
71. The Dark Knight Rises,2012,8.4 (1.8M)
72. Coco,2017,8.4 (598K)
73. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3 (521K)
74. Oldboy,2003,8.3 (641K)
75. Amadeus,1984,8.4 (431K)
76. American Beauty,1999,8.3 (1.2M)
77. Toy Story,1995,8.3 (1.1M)
78. Avengers: Endgame,2019,8.4 (1.3M)
79. Das Boot,1981,8.4 (266K)
80. Braveheart,1995,8.3 (1.1M)
9. The Lord of the Rings: The Fellowship of the Ring,2001,8.9 (2M)
81. Good Will Hunting,1997,8.3 (1.1M)
82. Princess Mononoke,1997,8.3 (437K)
83. Joker,2019,8.4 (1.5M)
84. Your Name.,2016,8.4 (325K)
85. High and Low,1963,8.4 (54K)
86. Once Upon a Time in America,1984,8.3 (380K)
87. 3 Idiots,2009,8.4 (438K)
88. Singin' in the Rain,1952,8.3 (262K)
89. Capernaum,2018,8.4 (107K)
90. Come and See,1985,8.4 (99K)
"10. The Good, the Bad and the Ugly",1966,8.8 (816K)
91. Requiem for a Dream,2000,8.3 (904K)
92. Toy Story 3,2010,8.3 (897K)
93. Star Wars: Episode VI - Return of the Jedi,1983,8.3 (1.1M)
94. Eternal Sunshine of the Spotless Mind,2004,8.3 (1.1M)
95. The Hunt,2012,8.3 (367K)
96. 2001: A Space Odyssey,1968,8.3 (724K)
97. Reservoir Dogs,1992,8.3 (1.1M)
98. Ikiru,1952,8.3 (88K)
99. Oppenheimer,2023,8.3 (759K)
100. Lawrence of Arabia,1962,8.3 (316K)
